"";"Run No.";"Current Normal Cost";"Current Salary";"Current AAL";"Current ARC";"Expected value of annuity";"Retirement Annuity";"Replacement Rate";"Entry Age";"Retirement Age";"Current Age";"Funding Level(%)";"Discount Rate(%)";"Salary growth rate(%)";"Inflation Rate(%)";"Payroll Growth Rate(%)";"COLA (%)";"AFC";"Benefit Factor(%)";"Cost Method";"Mortality Table";"Vesting Period";"Amortization Period"
"80";23;0;0;0,363240233624861;0,00322264753450177;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"81";23;0;0;0,274279427187058;0,00243339211344575;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"82";23;0;0;0,202260124118731;0,0017944407859632;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"83";23;0;0;0,145020659794593;0,00128661538143796;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"84";23;0;0;0,100408584446961;0,000890819482967827;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"85";23;0;0;0,0663512406546079;0,000588664586994889;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"86";23;0;0;0,0409168689898311;0,000363012229272463;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"87";23;0;0;0,0223606981379705;0,000198382893890797;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"88";23;0;0;0,00915450425765719;8,12182623084452e-05;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"89";24;3,26301399083613;3,20713547221285;54,351237482206;3,26301399083613;50,4321606939597;2,29123177562652;71,44;35;55;55;0,854;0,05;0,06;0,02;0,04;0,04;5;0,04;"EAN";"RP2000_Employee_total";5;30
"90";25;0;0;2,82361401041166;0,0399006324684416;72,710281224041;6,15487072143982;107,16;25;55;85;0,854;0,08;0,06;0,02;0,04;0,02;5;0,04;"PUC";"RP2010_Employee_total";5;30
"91";26;0;0;8,26971535940173;0,073368463476793;15,8734705792618;1,33291816574371;50;30;55;65;0,854;0,06;0,04;0,02;0,02;0;1;0,02;"PUC";"RP2014_Employee_total";5;30
"92";27;0,365545785492048;1;0;2,71939980913087;16,2706821345821;1,04688896482711;50;35;60;35;0,854;0,03;0,03;0,02;0,01;0;1;0,02;"EAN";"RP2014_Employee_total";5;30
"93";28;0,947894515793649;1;0;7,93169822812452;377,336346327124;24,6857230491022;240;25;65;25;0,854;0,06;0,06;0,02;0,04;0,04;1;0,06;"PUC";"RP2014_Employee_total";5;30
"94";29;0,335978830775905;1;0;1,24802515561534;29,5822441269444;2,43472093816538;111,12;35;55;35;0,854;0,09;0,04;0,02;0,02;0,03;5;0,06;"PUC";"RP2014_Employee_total";5;30
